date,lat,lon,gps,pressur,speed,external,internal,o-date,o-lat,o-lon,o-gpsalt,o-pressurealt,o-speed,o-externaltemp,o-internaltemp
1440692727534.8838,52.19969000000001,11.722347906976742,1779.3139534883715,1725.268139534884,60.81372093023256,16.260465116279057,28.125,1440692727534.8838,52.19969000000001,11.728747441860463,1779.3139534883715,1725.268139534884,62.84418604651165,16.260465116279057,28.204487645348838
1440692756000,52.202639999999995,11.72218,1866.3999999999999,1826.0933333333332,70.695,15.789999999999997,28.125,1440692756000,52.202639999999995,11.700000000000001,1866.3999999999999,1826.0933333333332,70.695,15.789999999999997,28.287760416666668
1440692766709.6775,52.20441032258062,11.726937741935483,1908.3193548387108,1849.3964516129033,67.89451612903225,15.578387096774197,28.125,1440692766709.6775,52.20441032258062,11.725506774193548,1908.3193548387108,1849.3964516129033,76.22032258064513,15.578387096774197,28.487273185483872
1440692784916.6667,52.207978750000024,11.730436250000002,1977.491666666666,1933.5729166666672,84.69166666666662,15.133333333333331,28.125,1440692784916.6667,52.207978750000024,11.730436250000002,1977.491666666666,1933.5729166666672,84.69166666666662,15.133333333333331,28.511555989583332
1440692807125,52.21208218750002,11.735257187499998,2048.0062499999995,2016.0700000000002,87.39093750000002,14.51062500000001,28.30810546875,1440692807125,52.21208218750002,11.734364374999998,2048.0062499999995,2016.0700000000002,88.9640625,14.51062500000001,28.338623046875
1440692832333.3333,52.21313,11.7369,2178.3333333333335,2115.9166666666665,86.15666666666668,13.740000000000002,28.206380208333332,1440692832333.3333,52.21313,11.7369,2178.3333333333335,2115.9166666666665,93.66333333333334,13.740000000000002,28.531901041666668
1440692840000,52.213129999999985,11.7369,2191.1153846153848,2123.6315384615386,89.53692307692307,13.710769230769232,28.463040865384617,1440692840000,52.213129999999985,11.7369,2191.1153846153848,2123.6315384615386,90.62384615384616,13.710769230769232,28.763521634615383
1440692867958.3333,52.21752166666667,11.736899999999997,2243.8250000000003,2206.254166666666,88.74374999999998,13.196249999999994,28.511555989583332,1440692867958.3333,52.21752166666667,11.721524999999994,2243.8250000000003,2206.254166666666,92.66458333333334,13.196249999999994,28.369140625
1440692886750,52.22488833333333,11.748129583333329,2291.566666666666,2249.830416666666,89.30708333333335,12.728333333333325,28.572591145833332,1440692886750,52.22488833333333,11.73736708333333,1829.047916666667,2249.830416666666,89.60000000000001,12.728333333333325,28.43017578125
1440692900000,52.227789999999985,11.754869999999999,2370.2000000000003,2291.900714285713,90.3621428571428,12.004999999999997,28.560965401785715,1440692900000,52.227789999999985,11.754869999999999,2370.2000000000003,6753.477142857141,90.69714285714288,12.004999999999997,28.473772321428573
